id;userName;activityName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Alper;Clockwise;14708.0;7500.0;-752.0;-3152.0;1386.0;-753.0;0
1;Alper;Clockwise;14988.0;6776.0;-500.0;-3104.0;6934.0;1367.0;103
2;Alper;Clockwise;17968.0;7884.0;948.0;-3120.0;14623.0;5441.0;206
3;Alper;Clockwise;19760.0;5628.0;-1548.0;-3104.0;18048.0;2692.0;310
4;Alper;Clockwise;17316.0;5624.0;-4432.0;-3104.0;13983.0;-2799.0;412
5;Alper;Clockwise;14700.0;5724.0;-6704.0;-3088.0;7410.0;-3625.0;516
6;Alper;Clockwise;13140.0;7244.0;-9372.0;-3120.0;-111.0;-5947.0;619
7;Alper;Clockwise;8764.0;9620.0;-8652.0;-3104.0;-8551.0;-11846.0;723
8;Alper;Clockwise;1652.0;11424.0;-5808.0;-3120.0;-13498.0;-8566.0;825
9;Alper;Clockwise;-4872.0;9444.0;-3484.0;-3088.0;-22295.0;-8855.0;928
10;Alper;Clockwise;-10224.0;13024.0;5692.0;-3088.0;-14520.0;-9066.0;1032
11;Alper;Clockwise;-5304.0;10424.0;3984.0;-3072.0;-10941.0;-12783.0;1135
12;Alper;Clockwise;2132.0;13044.0;10632.0;-3088.0;-10232.0;-22444.0;1239
13;Alper;Clockwise;9828.0;13084.0;11500.0;-3072.0;-619.0;-24498.0;1342
14;Alper;Clockwise;11812.0;11000.0;8008.0;-3104.0;8774.0;-19538.0;1444
15;Alper;Clockwise;13832.0;6332.0;3788.0;-3072.0;15204.0;-7292.0;1548
16;Alper;Clockwise;19152.0;3672.0;-44.0;-3088.0;18214.0;-2509.0;1651
17;Alper;Clockwise;18424.0;2820.0;-1752.0;-3056.0;18706.0;-3011.0;1755
18;Alper;Clockwise;18308.0;2576.0;-1888.0;-3072.0;21556.0;1353.0;1858
19;Alper;Clockwise;20396.0;-12.0;-5956.0;-3136.0;19719.0;-962.0;1961
20;Alper;Clockwise;17788.0;1268.0;-7904.0;-3120.0;12401.0;-4250.0;2064
21;Alper;Clockwise;15104.0;6508.0;-8340.0;-3120.0;3525.0;-3779.0;2167
22;Alper;Clockwise;9304.0;8656.0;-11036.0;-3120.0;-2692.0;-5535.0;2271
23;Alper;Clockwise;768.0;10024.0;-7264.0;-3088.0;-6617.0;-8232.0;2373
